,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,2cc3045f-c4b5-4b3d-8af2-b35c8e727915,[Amber] is the daughter-in-law of [John]. ,"('John', 'Amber')",Fill in the blanks : [Amber] is [John] 's _. ,daughter-in-law,['[Amber] is the daughter-in-law of [John]. '],[Amber] is the daughter-in-law of [John]. ,[],daughter-in-law,task_1.1,"[(0, 1)]",['daughter-in-law'],"(0, 1)","John:male,Amber:female",,"{6: 0, 28: 1}",train
1,d7f98143-3151-41c2-ac51-e85ccf05076d,[David] is the father of [Dennis]. ,"('Dennis', 'David')","For [Dennis], who is [David] ? ",father,"[""[David] is [Dennis]'s father. ""]",[David] is the father of [Dennis]. ,[],father,task_1.1,"[(0, 1)]",['father'],"(0, 1)","Dennis:male,David:male",,"{19: 0, 4: 1}",train
2,5f3a3e53-02ce-40af-b06f-b1feb199e4dd,[Eileen] is a sister of [Winston]. ,"('Winston', 'Eileen')",How are [Winston] and [Eileen] related to each other ? ,sister,"[""[Eileen] is [Winston]'s sister. ""]",[Eileen] is a sister of [Winston]. ,[],sister,task_1.1,"[(0, 1)]",['sister'],"(0, 1)","Winston:male,Eileen:female",,"{17: 0, 20: 1}",train
3,fd8a0b6a-2605-4dab-a096-adf04d074318,[Lance] has a brother named [Dennis]. ,"('Lance', 'Dennis')",What is the family connection between [Lance] and [Dennis] ? ,brother,['[Dennis] is a brother of [Lance]. '],[Lance] has a brother named [Dennis]. ,[],brother,task_1.1,"[(0, 1)]",['brother'],"(0, 1)","Lance:male,Dennis:male",,"{18: 0, 19: 1}",train
4,03db44a8-26ea-466d-b2b4-711836e8d6dc,[Jonathan] is [Eddie]'s grandfather. ,"('Eddie', 'Jonathan')",How are [Eddie] and [Jonathan] related to each other ? ,grandfather,"[""[Jonathan] is [Eddie]'s grandfather. ""]",[Jonathan] is [Eddie]'s grandfather. ,[],grandfather,task_1.1,"[(0, 1)]",['grandfather'],"(0, 1)","Eddie:male,Jonathan:male",,"{9: 0, 0: 1}",train
5,cec00f9f-fd38-499b-8e09-2141138c6113,[Charles] has a sister named [Lauren]. ,"('Charles', 'Lauren')",How is [Charles] related to [Lauren] ? ,sister,"[""[Lauren] is [Charles]'s sister. ""]",[Charles] has a sister named [Lauren]. ,[],sister,task_1.1,"[(0, 1)]",['sister'],"(0, 1)","Charles:male,Lauren:female",,"{10: 0, 7: 1}",train
6,13ae8b67-01dd-432d-b3b1-71742a39e507,[Richard] is the nephew of [Matt]. ,"('Matt', 'Richard')",How are [Matt] and [Richard] related to each other ? ,nephew,['[Richard] is the nephew of [Matt]. '],[Richard] is the nephew of [Matt]. ,[],nephew,task_1.1,"[(0, 1)]",['nephew'],"(0, 1)","Matt:male,Richard:male",,"{11: 0, 22: 1}",train
7,3c455a6c-a34d-4542-993a-387068df7405,[Winston] is the grandson of [Jonathan]. ,"('Jonathan', 'Winston')",How are [Jonathan] and [Winston] related to each other ? ,grandson,"[""[Winston] is [Jonathan]'s grandson. ""]",[Winston] is the grandson of [Jonathan]. ,[],grandson,task_1.1,"[(0, 1)]",['grandson'],"(0, 1)","Jonathan:male,Winston:male",,"{0: 0, 17: 1}",train
8,f556d183-a616-4209-9735-2832221a45da,[Jody] is [Mike]'s grandmother. ,"('Mike', 'Jody')",Who is [Jody] from the point of relation of [Mike] ? ,grandmother,"[""[Jody] is [Mike]'s grandmother. ""]",[Jody] is [Mike]'s grandmother. ,[],grandmother,task_1.1,"[(0, 1)]",['grandmother'],"(0, 1)","Mike:male,Jody:female",,"{14: 0, 1: 1}",train
9,9ccbccc7-0727-46b3-af85-467fe0803c67,[David] has a daughter-in-law who is [Johnette]. ,"('David', 'Johnette')",Who is [Johnette] from the point of relation of [David] ? ,daughter-in-law,['[Johnette] is the daughter-in-law of [David]. '],[David] has a daughter-in-law who is [Johnette]. ,[],daughter-in-law,task_1.1,"[(0, 1)]",['daughter-in-law'],"(0, 1)","David:male,Johnette:female",,"{4: 0, 35: 1}",train
