,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,419bb7f9-9f99-41f7-bf79-3c90b2226626,"[George] took his daughter [Ella] to the store [George] and his brother [John] went to the movies. [George] wanted to see an action movie, but [John] convinced him to go to a horror film instead.","('John', 'Ella')",Fill in the blanks : [Ella] is [John] 's _. ,neice,"[""[John]'s niece, [Ella], was visiting him from college.""]","[George] and his brother [John] went to the movies. [George] wanted to see an action movie, but [John] convinced him to go to a horror film instead. [George] took his daughter [Ella] to the store","[{('John', 'neice', 'Ella'): [('John', 'brother', 'George'), ('George', 'daughter', 'Ella')]}]",brother-daughter,task_1.2,"[(0, 1), (1, 2)]","['brother', 'daughter']","(0, 2)","John:male,George:male,Ella:female",,"{11: 0, 5: 1, 22: 2}",train
1,3f8fa5fe-47af-43f8-84d7-4f972c8258b6,"[Adrienne] took her daughter, [Dana], to lunch. [Dana] could n't wait to get off the plane to see her mother, [Kathy].","('Kathy', 'Adrienne')",How is [Kathy] related to [Adrienne] ? ,grandmother,"['[Adrienne] went to visit her grandmother, [Kathy], in the retirement home.']","[Dana] could n't wait to get off the plane to see her mother, [Kathy]. [Adrienne] took her daughter, [Dana], to lunch.","[{('Kathy', 'grandmother', 'Adrienne'): [('Kathy', 'mother', 'Dana'), ('Dana', 'mother', 'Adrienne')]}]",mother-mother,task_1.2,"[(0, 1), (1, 2)]","['mother', 'mother']","(0, 2)","Kathy:female,Dana:female,Adrienne:female",,"{14: 0, 3: 1, 1: 2}",train
2,a3f3fd1a-fbfe-4d63-bb90-c6a0e4405616,[George] was proud to attend [Ella]'s graduation. He was very proud to have raised her into a successful young adult. [Alma] took her sister [Ella] out for dinner to celebrate her birthday.,"('George', 'Alma')",What is the family connection between [George] and [Alma] ? ,daughter,['[George] was shopping for a new dress for his daughter [Alma].'],[George] was proud to attend [Ella]'s graduation. He was very proud to have raised her into a successful young adult. [Alma] took her sister [Ella] out for dinner to celebrate her birthday.,"[{('George', 'daughter', 'Alma'): [('George', 'daughter', 'Ella'), ('Ella', 'sister', 'Alma')]}]",daughter-sister,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'sister']","(0, 2)","George:male,Ella:female,Alma:female",,"{5: 0, 22: 1, 24: 2}",train
3,4b8cf215-6b6c-43bd-b136-c666c9e2aa68,"[Stephen] 'grandfather [Reggie] could n't figure how to turn the television on so [Stephen] helped him. [Stephen] loved his mother, [Susan].","('Susan', 'Reggie')",What is the family connection between [Susan] and [Reggie] ? ,father,['[Reggie] made a pizza for his daughter. Her name is [Susan].'],"[Stephen] loved his mother, [Susan]. [Stephen] 'grandfather [Reggie] could n't figure how to turn the television on so [Stephen] helped him.","[{('Susan', 'father', 'Reggie'): [('Susan', 'son', 'Stephen'), ('Stephen', 'grandfather', 'Reggie')]}]",son-grandfather,task_1.2,"[(0, 1), (1, 2)]","['son', 'grandfather']","(0, 2)","Susan:female,Stephen:male,Reggie:male",,"{16: 0, 17: 1, 0: 2}",train
4,099b0fb4-4627-4110-8b1b-48d5ed06fd4a,[James] bought an expensive ring for his wife [Whitney]. [Alfred] was so proud that his son [James] won the science fair!,"('Alfred', 'Whitney')",Who is [Whitney] from the point of relation of [Alfred] ? ,daughter-in-law,"['[Alfred] liked [Whitney], his daughter-in-law, and often called her just to talk.']",[Alfred] was so proud that his son [James] won the science fair! [James] bought an expensive ring for his wife [Whitney].,"[{('Alfred', 'daughter-in-law', 'Whitney'): [('Alfred', 'son', 'James'), ('James', 'wife', 'Whitney')]}]",son-wife,task_1.2,"[(0, 1), (1, 2)]","['son', 'wife']","(0, 2)","Alfred:male,James:male,Whitney:female",,"{4: 0, 18: 1, 35: 2}",train
5,8e957b4e-e7e9-4301-a68e-0936c37d68e0,"[Dana] and her sister [Rosa] have never been close. Still, they love each other because they are family. [Dana] visited her son [Todd] at college.","('Rosa', 'Todd')",Fill in the blanks : [Todd] is [Rosa] 's _. ,nephew,['[Rosa] and her nephew [Todd] went on a boat together to go fishing.'],"[Dana] and her sister [Rosa] have never been close. Still, they love each other because they are family. [Dana] visited her son [Todd] at college.","[{('Rosa', 'nephew', 'Todd'): [('Rosa', 'sister', 'Dana'), ('Dana', 'son', 'Todd')]}]",sister-son,task_1.2,"[(0, 1), (1, 2)]","['sister', 'son']","(0, 2)","Rosa:female,Dana:female,Todd:male",,"{21: 0, 3: 1, 15: 2}",train
6,1027c548-fca0-4d7f-b63c-9eb9a594b628,"[Buster] had a wife named [Ella] [Ella]'s father, [George], told her to be quiet. She was a little hurt, but she obeyed.","('Buster', 'George')",Who is [George] from the point of relation of [Buster] ? ,father-in-law,['[George] went with his son-in-law [Buster] to go buy new suits.'],"[Buster] had a wife named [Ella] [Ella]'s father, [George], told her to be quiet. She was a little hurt, but she obeyed.","[{('Buster', 'father-in-law', 'George'): [('Buster', 'wife', 'Ella'), ('Ella', 'father', 'George')]}]",wife-father,task_1.2,"[(0, 1), (1, 2)]","['wife', 'father']","(0, 2)","Buster:male,Ella:female,George:male",,"{38: 0, 22: 1, 5: 2}",train
7,b7dd1f97-325e-4866-b0c9-374bbd590b23,"[Susan] took her daughter [Jo] to see a movie on Friday. She let her pick the movie and she enjoyed it very much. [Daniel] and his wife, [Jo], have been happily married for 20 years. They hope to stay married for life.","('Daniel', 'Susan')",How are [Daniel] and [Susan] related to each other ? ,mother-in-law,['[Daniel] and his mother-in-law [Susan] are shopping.'],"[Daniel] and his wife, [Jo], have been happily married for 20 years. They hope to stay married for life. [Susan] took her daughter [Jo] to see a movie on Friday. She let her pick the movie and she enjoyed it very much.","[{('Daniel', 'mother-in-law', 'Susan'): [('Daniel', 'wife', 'Jo'), ('Jo', 'mother', 'Susan')]}]",wife-mother,task_1.2,"[(0, 1), (1, 2)]","['wife', 'mother']","(0, 2)","Daniel:male,Jo:female,Susan:female",,"{37: 0, 20: 1, 16: 2}",train
8,f923e288-21fb-4bcc-b518-1fada147c214,"[George] was excited to finally spend some one on one time with his daughter [Ella]. Worker: [Ella] looks just like her grandmother, [Adrienne] did as a child.","('George', 'Adrienne')","For [George], who is [Adrienne] ? ",mother,"[""[George]'s mother [Adrienne] baked brownies for dessert after they had dinner.""]","[George] was excited to finally spend some one on one time with his daughter [Ella]. Worker: [Ella] looks just like her grandmother, [Adrienne] did as a child.","[{('George', 'mother', 'Adrienne'): [('George', 'daughter', 'Ella'), ('Ella', 'grandmother', 'Adrienne')]}]",daughter-grandmother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandmother']","(0, 2)","George:male,Ella:female,Adrienne:female",,"{5: 0, 22: 1, 1: 2}",train
9,6fb82812-80be-4cbd-8874-96e7b2247baa,"[George] is in the sixth grade. He looks up to his sister [Kelly], who is in the seventh. [Alma] misses her father [George] when she is at school.","('Alma', 'Kelly')",How is [Alma] related to [Kelly] ? ,aunt,['[Alma] has an aunt named [Kelly]'],"[Alma] misses her father [George] when she is at school. [George] is in the sixth grade. He looks up to his sister [Kelly], who is in the seventh.","[{('Alma', 'aunt', 'Kelly'): [('Alma', 'father', 'George'), ('George', 'sister', 'Kelly')]}]",father-sister,task_1.2,"[(0, 1), (1, 2)]","['father', 'sister']","(0, 2)","Alma:female,George:male,Kelly:female",,"{24: 0, 5: 1, 2: 2}",train
